


 TIME HISTORY FOR STORY NO.  3



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.83386E-06     .16851E-07     .63309E-02    -.13898E-02    -.13115E-04         .000      .000
    .020    -.23860E-06    -.24708E-06    -.48021E-02     .31779E-02    -.28562E-04         .000      .000
    .030    -.13521E-05    -.25889E-06    -.17207E-02    -.18734E-02    -.33162E-04         .000      .000
    .040    -.10489E-05    -.39681E-06     .82345E-03     .15239E-02    -.74156E-04         .000      .000
    .050    -.28554E-05    -.57454E-06     .13340E-02    -.13372E-02    -.12923E-03         .000      .000
    .060    -.38271E-05    -.10030E-05     .21351E-02     .24921E-02    -.23470E-03         .000      .000
    .070    -.75022E-05    -.16255E-05     .48919E-02     .86773E-04    -.33321E-03         .000      .000
    .080    -.10578E-04    -.28383E-05     .80269E-04     .55281E-02    -.45035E-03         .000      .000
    .090    -.16433E-04    -.45031E-05    -.95411E-02     .40883E-02    -.55241E-03         .000      .000
    .100    -.21738E-04    -.68023E-05    -.23952E-01     .94845E-02    -.68035E-03         .000      .000
    .110    -.29969E-04    -.95230E-05    -.38505E-01     .80017E-02    -.79460E-03         .000      .000
    .120    -.37734E-04    -.12881E-04    -.56574E-01     .14173E-01    -.93231E-03         .000      .000
    .130    -.48500E-04    -.16667E-04    -.73191E-01     .13377E-01    -.10432E-02         .000      .000
    .140    -.58588E-04    -.21125E-04    -.92264E-01     .20056E-01    -.11431E-02         .000      .000
    .150    -.70278E-04    -.26084E-04    -.11575E+00     .20381E-01    -.92534E-03         .000      .000
    .160    -.76675E-04    -.31548E-04    -.17119E+00     .30036E-01    -.57626E-03         .000      .000
    .170    -.83377E-04    -.35861E-04    -.19931E+00     .17457E-01    -.71221E-03         .000      .000
    .180    -.93124E-04    -.38865E-04    -.12597E+00     .29455E-02    -.14916E-02         .000      .000
    .190    -.11416E-03    -.43208E-04    -.27248E-01     .72971E-03    -.25573E-02         .000      .000
    .200    -.14408E-03    -.52132E-04    -.82299E-02     .26105E-01    -.35652E-02         .000      .000
    .210    -.18386E-03    -.66321E-04    -.73843E-01     .45488E-01    -.41056E-02         .000      .000
    .220    -.22436E-03    -.85448E-04    -.22044E+00     .65511E-01    -.40888E-02         .000      .000
    .230    -.26482E-03    -.10733E-03    -.42220E+00     .67555E-01    -.38364E-02         .000      .000
    .240    -.30134E-03    -.12906E-03    -.59547E+00     .65793E-01    -.36478E-02         .000      .000
    .250    -.33785E-03    -.14846E-03    -.68739E+00     .59267E-01    -.34868E-02         .000      .000
    .260    -.36965E-03    -.16538E-03    -.71366E+00     .68124E-01    -.28930E-02         .000      .000
    .270    -.39128E-03    -.17999E-03    -.73819E+00     .77676E-01    -.97867E-03         .000      .000
    .280    -.38567E-03    -.19129E-03    -.82572E+00     .83086E-01     .19982E-02         .000      .000
    .290    -.35136E-03    -.19440E-03    -.85396E+00     .33031E-01     .49448E-02         .000      .000
    .300    -.29031E-03    -.18592E-03    -.68349E+00    -.44824E-01     .68552E-02         .000      .000
