


 TIME HISTORY FOR STORY NO.  3



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.52116E-06     .10532E-07     .39568E-02    -.86862E-03    -.81971E-05         .000      .000
    .020    -.14913E-06    -.15442E-06    -.30013E-02     .19862E-02    -.17851E-04         .000      .000
    .030    -.84506E-06    -.16181E-06    -.10754E-02    -.11709E-02    -.20726E-04         .000      .000
    .040    -.65555E-06    -.24801E-06     .51465E-03     .95243E-03    -.46348E-04         .000      .000
    .050    -.17846E-05    -.35909E-06     .83374E-03    -.83575E-03    -.80770E-04         .000      .000
    .060    -.23919E-05    -.62688E-06     .13344E-02     .15576E-02    -.14669E-03         .000      .000
    .070    -.46889E-05    -.10159E-05     .30575E-02     .54233E-04    -.20826E-03         .000      .000
    .080    -.66113E-05    -.17740E-05     .50168E-04     .34551E-02    -.28147E-03         .000      .000
    .090    -.10270E-04    -.28144E-05    -.59632E-02     .25552E-02    -.34526E-03         .000      .000
    .100    -.13586E-04    -.42514E-05    -.14970E-01     .59278E-02    -.42522E-03         .000      .000
    .110    -.18731E-04    -.59519E-05    -.24066E-01     .50010E-02    -.49662E-03         .000      .000
    .120    -.23584E-04    -.80509E-05    -.35359E-01     .88584E-02    -.58270E-03         .000      .000
    .130    -.30312E-04    -.10417E-04    -.45744E-01     .83604E-02    -.65201E-03         .000      .000
    .140    -.36617E-04    -.13203E-04    -.57665E-01     .12535E-01    -.71444E-03         .000      .000
    .150    -.43924E-04    -.16303E-04    -.72345E-01     .12738E-01    -.57834E-03         .000      .000
    .160    -.47922E-04    -.19717E-04    -.10699E+00     .18773E-01    -.36016E-03         .000      .000
    .170    -.52111E-04    -.22413E-04    -.12457E+00     .10911E-01    -.44513E-03         .000      .000
    .180    -.58203E-04    -.24291E-04    -.78733E-01     .18409E-02    -.93226E-03         .000      .000
    .190    -.71351E-04    -.27005E-04    -.17030E-01     .45607E-03    -.15983E-02         .000      .000
    .200    -.90053E-04    -.32583E-04    -.51437E-02     .16316E-01    -.22282E-02         .000      .000
    .210    -.11491E-03    -.41451E-04    -.46152E-01     .28430E-01    -.25660E-02         .000      .000
    .220    -.14023E-03    -.53405E-04    -.13777E+00     .40944E-01    -.25555E-02         .000      .000
    .230    -.16551E-03    -.67078E-04    -.26387E+00     .42222E-01    -.23977E-02         .000      .000
    .240    -.18834E-03    -.80665E-04    -.37217E+00     .41121E-01    -.22799E-02         .000      .000
    .250    -.21116E-03    -.92790E-04    -.42962E+00     .37042E-01    -.21792E-02         .000      .000
    .260    -.23103E-03    -.10336E-03    -.44603E+00     .42578E-01    -.18082E-02         .000      .000
    .270    -.24455E-03    -.11250E-03    -.46137E+00     .48547E-01    -.61167E-03         .000      .000
    .280    -.24104E-03    -.11955E-03    -.51608E+00     .51929E-01     .12489E-02         .000      .000
    .290    -.21960E-03    -.12150E-03    -.53373E+00     .20644E-01     .30905E-02         .000      .000
    .300    -.18144E-03    -.11620E-03    -.42718E+00    -.28015E-01     .42845E-02         .000      .000
